strate_CP;sexe;IPS_CP;strate_CE1;CPFCOMO_Debut;CPFCOPH_Debut;CPFCOTE_Debut;CPFPHPH_Debut;CPFPHSY_Debut;CPFRLGP_Debut;CPFRLLE_Debut;CPFRLSI_Debut;CPFRLSY_Debut;CPMETNOCOEN_Debut;CPMETNOCORN_Debut;CPMETNOPR_Debut;CPMUTNOCA_Debut;CPMUTNOGN_Debut;CPMUTNOLN_Debut;CPFCOPH_Mi;CPFLILVMO_Mi;CPFLILVMOINV_Mi;CPFLILVTE_Mi;CPFLOE_Mi;CPFLOR_Mi;CPFPHPH_Mi;CPFRLGP_Mi;CPMNOCACOGN_Mi;CPMNOCACOLN_Mi;CPMNOCANECLAD_Mi;CPMNOCANECLSO_Mi;CPMNOCANOEN_Mi;CPMNOCARP_Mi;CE1COMO;CE1COPH;CE1FLOE;CE1FLOR;CE1LICP;CE1LICTEN;CE1LILVMO;CE1LILVTE;CE1MEGAS;CE1MNOCACOLN;CE1MNOCANECLAD;CE1MNOCANECLSO;CE1MNOCANECM;CE1MNOCANOEN;CE1MNOCANORC;CE1MNOCANORP;CE1MNOCARP;IPS_CE1;birthday;CodeEleve;CodeEtablissementCP;CodeEtablissementCE1;CodeClasseCP;CodeClasseCE1
Public Hors REP;Garcon;75.6;Public Hors EP;12;13;13;3;4;4;2;4;6;11;10;3;7;29;1.5;10;22;23;29;10;8;6;10;40;6;7;6;10;3;12;15;11;9;9;8;52;44;6;8;4;5;6;9;10;8;3;75.3;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;91.7;Public Hors EP;8;13;13;6;14;9;4;2;1;8;10;1;7;8;4.5;12;23;13;24;9;8;11;8;26;4;4;0;8;1;14;14;10;11;8;7;57;78;3;6;3;1;9;10;7;6;5;96.9;2011-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;132.4;Public Hors EP;2;;0;;4;;;0;17;11;10;2;8;10;3;1;21;17;17;8;1;7;10;40;3.5;7;0;10;0;4;11;8;5;6;0;32;25;3;6;3;5;8;5;5;4;1;130.5;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;133.1;Public Hors EP;;7;2;7;;8;4;;;11;9;1;6;21;1.5;;21;18;;8;;4;10;11;5;6;7;10;2;11;15;7;3;5;6;30;29;7;7;2;2;10;7;10;3;1;131.3;2013-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;76.3;REP;14;13;16;5;14;10;5;4;8;11;10;4;7;22;3;12;21;20;20;10;6;12;10;40;6.5;6;6;10;2;14;12;9;7;9;5;33;27;6;5.5;5;3;10;10;10;11;5;73.7;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;85.3;REP;13;12;13;10;13;10;6;4;8;11;10;4;8;22;4;12;28;24;39.5121951219512;9;8;10;10;40;4;7;7;10;5;13;13;12;10;8;7;57;51;5;3;6;7;5;10;10;7;3;89.3;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;109.3;Public Hors EP;15;12;15;10;12;7;6;4;12;11;10;3;8;45;5.5;14;25;19;30.5263157894737;10;5;9;9;40;8;7;7;10;4;15;15;12;11;10;6;52;69;7;6;1;3;8;9;8;9;2;107;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;109.4;Public Hors EP;14;14;16;11;13;10;4;4;18;11;10;6;8;34;1.5;14;27.7777777777778;22;24;10;4;10;10;40;6.5;6;5;10;5;15;15;12;12;8;7;49;60;6;5.5;4;4;10;10;9;6;5;109.3;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;110.7;Public Hors EP;14;14;17;11;14;5;7;4;16;11;10;3;7;17;4;13;26;29;27;10;7;10;10;40;6;6;7;9;5;15;15;10;7;6;4;17;26;8;5.5;3;3;9;5;7;11;6;95.8;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;122.7;Public Hors EP;11;9;14;7;9;7;2;3;6;11;10;2;8;7;2;10;23;25;31.0714285714286;7;5;9;10;39;1;4;4;6;2;13;13;9;6;6;6;33;33;6;0;2;2;7;8;9;4;2;122.7;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;88.1;REP;14;;8;;15;;;4;13;11;10;6;8;31;4;13;30.5263157894737;25;42.4390243902439;10;7;12;10;;5;7;;10;2;15;15;12;12;9;8;39;37;7;12;7;7;10;10;10;16;6;89.1;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;74.9;Public Hors EP;5;3;5;7;10;7;4;0;0;;;;;;;6;10;6;8;7;7;3;8;13;7;3;7;9;1;9;9;7;3;0;4;12;0;6;10.5;0;1;0;8;7;2;0;71;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;116.1;Public Hors EP;12;13;10;5;12;4;7;2;12;11;10;2;8;17;3;;;;29;10;;6;10;;2.5;7;;10;2;14;14;12;8;9;7;32;34;6;8.5;1;0;10;10;10;14;5;117.3;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;112.9;Public Hors EP;8;8;17;11;9;7;1;4;16;11;10;3;7;5;1.5;10;19;22;20;9;8;3;10;40;0.5;5;6;10;3;10;11;6;7;8;4;31;36;7;4;5;3;6;9;8;9;5;111.1;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;121.4;Public Hors EP;13;13;18;7;15;9;5;4;22;10;10;6;8;43;5;14;22;18;40.4651162790698;10;5;11;10;40;7;7;7;10;5;15;15;12;12;10;8;78.2608695652174;94;8;7.5;6;7;8;10;10;9;4;122.7;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;97;Public Hors EP;14;13;18;7;9;6;5;1;24;11;9;4;8;26;3;14;17;15;21;9;7;8;3;36;4;7;7;8;4;12;15;10;9;10;8;45;48;6;5;6;4;8;9;9;7;3;99.1;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;97.9;Public Hors EP;14;12;15;11;13;9;4;4;14;11;7;6;8;23;1.5;12;25;20;29.4545454545455;10;6;11;10;37;3;7;1;8;1;12;13;10;10;9;6;40;42;6;7;4;5;5;3;6;13;3;100.6;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;;Public Hors EP;10;6;6;2;6;1;3;2;11;9;10;4;8;2;1;8;5;4;1;4;2;6;7;39;1;7;3;9;4;12;10;1;2;0;2;9;3;2;4;6;5;9;6;10;4;3;95.9;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;128.8;Prive;15;13;17;14;14;9;5;4;22;11;10;4;8;28;6;13;;;;10;4;12;9;;9;5;6;10;4;12;14;11;9;8;7;44;43;7;12;5;5;9;10;10;10;6;133.2;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;140.7;Public Hors EP;15;14;17;11;8;10;5;4;12;11;10;5;8;37;2.5;12;30;21;46.2857142857143;10;8;12;10;40;3;5;7;10;5;14;15;12;11;10;8;56;79;5;13;5;3;10;10;8;16;5;138.7;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;108.8;Public Hors EP;13;14;16;13;15;10;6;4;24;11;10;6;8;60;6;14;18;15;18;8;7;12;10;40;7;7;7;10;5;15;15;12;11;9;8;44;45;8;9.5;7;4;10;10;10;12;5;110.3;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;93.7;Public Hors EP;14;12;17;12;14;9;3;4;7;11;10;3;7;22;5;10;18;19;14;7;6;6;9;40;2.5;4;7;10;1;13;13;12;8;10;7;60;66;3;2;2;3;2;4;5;7;2;96.7;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;65.4;REP;11;13;6;11;15;8;5;0;24;11;10;5;8;15;0.5;12;23;31.0344827586207;27.9310344827586;10;7;12;9;40;9;7;4;9;4;14;13;11;8;7;7;45;47;3;2;1;0;10;7;9;12;3;65.6;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;98.4;Public Hors EP;15;14;14;8;13;10;7;4;24;11;10;4;8;58;4;14;14;14;16;10;3;8;8;40;9;6;7;9;3;14;15;9;8;10;6;22;25;7;7;6;4;5;10;10;5;2;96;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;139.2;Public Hors EP;14;12;18;7;14;7;5;0;22;11;10;6;8;23;6;12;47.027027027027;45;43.5;10;8;12;10;38;7;7;7;10;5;13;14;11;11;10;6;82.3255813953488;116.538461538466;6;7;2;2;9;9;10;12;4;139.1;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;107.2;REP;15;13;12;11;14;9;6;2;0;9;10;4;8;28;5;12;22;18;33.6;8;8;11;9;40;3.5;7;7;10;5;15;13;12;10;9;7;48;50;5;7;6;5;10;10;10;12;5;105.9;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;111;Public Hors EP;12;14;14;7;14;9;5;3;12;11;10;6;8;34;6;12;29;28;43.5;10;8;12;10;40;7;5;7;10;4;13;13;12;12;9;8;64.2857142857143;117.692307692312;6;13.5;6;8;10;10;10;14;6;112.1;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;140.6;Prive;15;12;15;11;13;10;5;4;5;11;10;5;8;24;4;14;12;17;10;8;4;8;8;40;2;7;7;8;2;15;13;11;8;9;8;43;43;7;1;3;3;10;8;7;8;6;144.1;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;123.8;Public Hors EP;14;12;15;9;12;7;5;4;1;11;9;4;8;27;6;13;29.3333333333333;22.6666666666667;52;8;6;10;10;40;6;7;6;10;5;15;15;9;9;10;7;55;57.9661016949168;5;5.5;4;0;8;8;7;8;3;125.8;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;74.7;REP;9;12;9;10;9;6;5;4;13;11;10;1;8;15;0;13;17;17;17;8;6;10;10;40;7;6;7;10;3;8;14;11;11;0;5;42;30;6;4.5;7;2;9;9;10;12;3;75.4;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Garcon;82.2;REP+;8;14;12;6;6;6;7;4;18;9;9;0;7;24;0;13;41.4285714285714;41.4285714285714;44.6153846153846;7;7;9;10;40;5;6;6;10;4;11;15;12;10;9;5;81.8181818181818;94;5;11.5;7;6;10;10;10;7;4;81.5;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;107.4;Public Hors EP;13;14;11;8;12;4;7;4;20;11;10;3;8;28;1;12;16;17;19;8;6;12;10;40;7;7;7;8;4;13;14;9;9;4;8;38;38;6;7;3;2;8;6;7;8;3;103.6;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;105.9;Public Hors EP;9;12;18;3;8;9;5;4;15;11;10;4;8;26;2.5;11;15;12;20;6;0;4;10;40;6;6;0;10;4;12;15;8;2;6;7;30;28;6;7;5;3;10;10;10;10;3;104.3;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;109;Public Hors EP;13;12;15;11;9;6;6;4;8;11;10;3;8;20;5.5;13;18;20;40.5;9;5;8;6;40;1;;2;;3;15;15;10;7;10;7;61.0714285714286;69;6;3.5;1;0;9;5;4;8;3;109.6;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;99.8;Public Hors EP;12;10;16;4;12;7;4;4;21;9;10;1;7;4;4;12;20;15;25;6;4;7;10;18;8;7;2;10;3;;12;;8;;0;40;38;8;6;6;4;10;10;7;0;4;100.2;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;79.7;Public Hors EP;12;12;14;11;15;10;7;4;23;11;10;5;8;58;3;12;31.0344827586207;19;19;9;7;10;10;40;7;6;7;10;4;13;15;10;11;8;7;40;46;5;4.5;6;5;10;8;10;15;6;86;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;83.4;REP;8;12;8;4;6;3;2;0;12;11;10;2;8;2;1;9;10;10;4;5;5;8;10;25;7.5;1;1;6;1;10;12;5;9;5;2;29;25;5;5.5;1;2;4;5;6;3;0;83;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;85.9;Public Hors EP;15;14;14;15;12;10;7;4;17;11;10;6;8;30;6;14;75;56.1290322580645;145;10;8;12;10;39;6.5;7;7;10;4;15;15;12;11;10;3;78.2608695652174;127.5;8;9;7;7;10;8;9;7;6;83.6;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;69.8;Public Hors EP;13;13;15;10;12;5;1;3;13;7;9;2;7;15;5;13;9;11;4;4;1;9;8;36;4.5;4;3;5;2;15;14;8;3;7;3;18;12;5;2;1;1;7;7;6;9;4;107.4;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;91.9;Public Hors EP;8;13;12;6;12;4;3;3;9;11;10;0;5;2;0;11;5;0;;4;1;9;8;19;5;;5;;;12;;9;2;8;6;28;23;7;;1;0;;;6;3;0;92.6;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;83.9;Public Hors EP;11;6;14;11;11;9;4;3;4;9;9;1;7;0;0;10;32.2222222222222;36.25;32.9411764705882;7;5;11;10;37;4;5;4;10;5;12;10;9;9;7;4;45;51;4;8.5;1;3;6;4;9;6;4;85.1;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;134;Public Hors EP;13;14;15;11;15;5;3;4;16;11;10;6;8;15;3;12;30;28.75;56.1290322580645;10;8;12;10;40;6;7;4;10;1;15;15;12;8;9;7;67.0588235294118;102;6;4;1;1;9;10;10;1;4;134.4;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Fille;60.8;REP+;10;14;11;11;15;9;6;4;18;11;10;5;8;22;3.5;11;24;23;33.6;9;7;12;10;40;9;7;6;9;4;13;15;11;12;9;8;52;47;7;10.5;3;3;9;10;10;16;5;59.4;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;123.5;Public Hors EP;13;11;14;7;13;5;5;4;10;8;10;5;6;16;5.5;11;26;22;35;10;7;9;10;40;7;5;4;10;4;13;15;12;9;7;6;46;37;5;8.5;6;4;8;8;9;8;6;124.8;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;100.9;Public Hors EP;11;13;13;11;15;8;5;4;23;11;10;3;8;11;5;14;26;24;27.8571428571429;10;8;12;10;40;5;7;7;10;5;15;15;12;12;10;6;43;63;7;6.5;7;8;10;10;10;10;5;101.6;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;121.7;Prive;14;12;15;15;14;10;7;3;12;11;9;4;8;22;1;14;22;27;32.2222222222222;9;6;12;10;;3;7;;10;1;14;15;11;10;9;7;37;32;7;9;7;3;10;10;10;15;5;120;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;132.3;Public Hors EP;11;14;12;14;12;10;6;4;9;11;9;4;8;23;5;13;26;19;24;9;8;12;10;40;7;7;7;10;4;15;14;12;12;9;6;50;54;8;7;7;1;8;10;10;8;6;132.3;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;110.8;Public Hors EP;14;14;12;14;12;9;5;4;8;5;10;4;8;21;2.5;13;22;19;23;10;6;9;10;40;7;7;6;10;5;14;14;11;11;8;8;45;56;5;7.5;3;4;10;10;10;9;5;112;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;107.2;Public Hors EP;9;13;9;6;8;6;2;4;19;11;10;5;6;15;0.5;11;16;13;19;8;6;8;10;38;3.5;4;0;5;4;15;12;8;9;6;5;27;31;5;8;4;2;7;5;7;13;4;105.6;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;108.1;Public Hors EP;15;13;17;5;14;5;4;4;17;10;10;5;7;20;6;13;10;5;8;6;5;5;10;40;8;7;6;9;3;15;15;8;8;8;8;31;33;6;9.5;7;4;9;10;10;8;5;106.2;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;127.6;Public Hors EP;13;14;16;11;11;6;4;4;13;11;10;3;8;5;5;12;14;11;7;10;8;11;10;40;6;7;0;10;5;14;14;11;12;9;5;46;54;8;8;5;5;7;8;9;13;2;124.7;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;120.7;Public Hors EP;13;12;16;13;12;10;7;4;23;11;10;4;8;16;2;11;22;19;21;9;7;12;8;40;5.5;7;7;8;5;13;11;6;11;8;7;58;101.69491525424;2;2.5;5;7;8;9;8;5;2;132.6;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;60.2;REP;7;3;4;7;6;3;1;0;6;4;5;2;0;25;1;4;1;1;0;1;1;1;2;18;0.5;0;1;2;2;5;3;0;0;0;0;2;0;0;0;1;0;5;0;2;2;0;59.4;2011-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;71.1;REP;13;13;13;10;14;8;5;4;13;11;10;4;7;28;1;12;45;30.5263157894737;35;10;7;10;10;40;6;6;7;10;5;14;14;12;11;9;7;54;66;7;9;6;8;10;10;10;15;6;81.5;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;113.6;Public Hors EP;12;11;12;7;13;6;7;4;21;11;8;0;8;23;2.5;12;33.3333333333333;20;31.1111111111111;10;8;9;9;39;5;7;6;10;4;14;11;7;10;10;7;49;59;5;3;4;6;10;9;8;5;2;111.1;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;107;Public Hors EP;5;13;11;13;13;10;6;4;12;9;10;1;6;11;0;11;94.7368421052632;60;145;10;6;12;10;39;6.5;5;5;10;4;14;15;10;8;8;6;88.5;145.714285714283;3;1;6;8;10;10;10;6;4;111.4;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;104.2;Public Hors EP;13;14;15;15;14;8;6;3;24;11;10;6;8;24;2;11;40;27;58;10;6;12;10;39;9;6;7;10;5;15;15;11;11;9;7;57;86;7;4;5;5;8;9;5;8;4;103;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;102.2;Public Hors EP;14;14;18;10;15;9;7;3;18;11;10;6;8;30;6;14;45.4054054054054;29;47.027027027027;10;8;12;10;40;7;7;7;10;5;15;13;12;12;10;8;66.6666666666667;102;8;11;7;1;9;9;10;8;5;101.7;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;97.8;Public Hors EP;13;14;11;8;15;9;7;4;23;11;10;5;8;31;5.5;10;81.8181818181818;28;87;5;8;9;9;40;4.5;5;7;10;4;14;13;8;9;8;6;68.0769230769231;77;6;3.5;1;3;5;8;10;6;3;97.4;2011-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;73.7;Prive;13;13;16;14;13;9;7;4;18;10;10;6;8;43;2.5;14;64.8;48;116;10;8;12;10;40;9;7;7;10;2;15;15;0;10;5;7;76.5957446808511;102;5;9;7;8;10;10;10;11;5;110.8;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;120.3;Public Hors EP;15;11;15;10;15;10;4;4;23;11;10;4;7;19;5;12;28;27;38.5714285714286;8;8;9;10;40;1.5;7;5;10;4;15;15;12;11;10;8;53;66;7;5;5;6;9;10;10;10;4;116.8;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;;Public Hors EP;7;12;12;12;13;8;6;4;22;11;10;6;8;10;4.5;11;22;19;24;8;6;11;9;39;8;6;7;10;3;12;15;10;12;8;7;51;51;8;11;6;2;7;9;9;12;5;;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;107;Public Hors EP;13;14;16;11;13;8;4;4;21;11;10;4;8;27;2.5;14;14;15;14;7;6;11;8;39;4;7;7;10;5;15;13;11;11;9;7;45;53;8;8.5;7;7;8;10;9;13;5;93.5;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;78;Public Hors EP;6;12;6;6;7;2;4;4;1;11;10;3;7;9;2;10;11;13;10;8;0;6;8;23;5;3;1;7;1;10;12;7;6;2;2;17;8;2;3.5;4;4;8;9;10;8;2;73.9;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Garcon;72.3;REP+;15;12;9;9;5;7;4;0;11;11;9;3;8;13;1;8;24;26.6666666666667;39.0697674418605;8;5;8;10;40;3;4;1;10;4;15;13;12;4;9;1;35;30;3;4.5;5;4;7;10;10;7;5;72.5;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Garcon;64.9;REP+;10;10;8;5;4;9;5;4;0;11;10;0;8;8;0.5;13;9;13;15;7;6;7;9;17;1.5;3;3;8;1;13;12;6;3;4;3;19;7;4;3.5;1;1;5;6;5;9;1;65;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;100.5;Public Hors EP;11;11;11;3;7;6;3;2;11;10;10;1;8;3;0.5;12;14;11;6;8;7;8;10;26;3.5;4;0;5;2;14;15;8;9;7;7;22;13;5;7;6;4;10;9;5;3;6;100.5;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;87.8;REP;8;12;11;8;11;7;2;4;9;11;10;5;8;17;1;14;17;21;19;9;6;12;10;39;3.5;7;0;10;3;13;;10;;9;2;38;32;;;4;4;;;6;10;2;89.4;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;95.3;Public Hors EP;13;12;18;9;14;6;7;4;22;11;10;6;8;31;4;14;30;24;28;10;7;12;10;40;5;7;7;10;4;15;15;12;11;10;7;58;66;8;8.5;6;5;9;10;10;14;4;96.3;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;128.6;Public Hors EP;14;11;16;14;12;10;4;4;4;10;10;1;8;9;3;13;24;24;29;9;7;12;10;40;5;7;6;10;3;15;15;12;11;8;8;48;49;8;4;5;3;10;10;10;10;4;129.1;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;118.9;Public Hors EP;13;13;14;7;13;9;4;4;16;11;10;6;8;34;5;13;27;25;24;9;7;9;10;40;8;7;7;10;5;15;15;12;11;10;8;81.8181818181818;95;5;12.5;7;8;10;10;10;14;6;118;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
